comparison,label,code,group_a,group_b,n_a,n_b,cos_mean,cos_std,euc_mean,euc_std,icc,therapist,n
between_therapists,therapist_imp,ECE,T2,T5,10.0,1.0,0.6249,0.0805,0.8547,0.0987,,,
between_therapists,therapist_imp,ERT,T1,T2,11.0,12.0,0.6777,0.079,0.7968,0.0979,0.3561,,
between_therapists,therapist_imp,ERT,T1,T5,11.0,5.0,0.6543,0.0644,0.8277,0.0792,-0.6799,,
between_therapists,therapist_imp,ERT,T2,T5,12.0,5.0,0.6568,0.0626,0.8251,0.0741,-0.3071,,
between_therapists,therapist_imp,FSU,T1,T2,43.0,33.0,0.623,0.1005,0.8555,0.1216,-0.005,,
between_therapists,therapist_imp,FSU,T1,T3,43.0,4.0,0.6488,0.0923,0.8277,0.1128,-0.1702,,
between_therapists,therapist_imp,FSU,T1,T5,43.0,5.0,0.6651,0.0775,0.81,0.0961,-0.0209,,
between_therapists,therapist_imp,FSU,T2,T3,33.0,4.0,0.6193,0.1001,0.8626,0.1198,0.4685,,
between_therapists,therapist_imp,FSU,T2,T5,33.0,5.0,0.6211,0.0836,0.8633,0.0981,0.4692,,
between_therapists,therapist_imp,FSU,T3,T5,4.0,5.0,0.6623,0.0602,0.8187,0.072,0.0229,,
between_therapists,therapist_imp,FTA,T1,T2,24.0,6.0,0.6055,0.0859,0.8726,0.1107,-0.1979,,
between_therapists,therapist_imp,HPM,T1,T2,28.0,19.0,0.6512,0.0804,0.8234,0.1,-0.3239,,
between_therapists,therapist_imp,HPM,T1,T3,28.0,1.0,0.6255,0.0579,0.8628,0.0666,,,
between_therapists,therapist_imp,HPM,T1,T4,28.0,5.0,0.6088,0.0846,0.8794,0.0956,0.16,,
between_therapists,therapist_imp,HPM,T1,T5,28.0,5.0,0.6619,0.0749,0.8173,0.0903,-0.7197,,
between_therapists,therapist_imp,HPM,T2,T3,19.0,1.0,0.6388,0.0459,0.8417,0.0638,,,
between_therapists,therapist_imp,HPM,T2,T4,19.0,5.0,0.6235,0.0807,0.8565,0.0988,0.3942,,
between_therapists,therapist_imp,HPM,T2,T5,19.0,5.0,0.6692,0.065,0.8034,0.0834,-0.483,,
between_therapists,therapist_imp,HPM,T3,T4,1.0,5.0,0.6307,0.0904,0.8533,0.102,,,
between_therapists,therapist_imp,HPM,T3,T5,1.0,5.0,0.6221,0.0133,0.8692,0.0153,,,
between_therapists,therapist_imp,HPM,T4,T5,5.0,5.0,0.6316,0.0586,0.8558,0.0672,0.0914,,
between_therapists,therapist_imp,IAI,T1,T2,95.0,23.0,0.6555,0.0791,0.8182,0.1006,-0.1985,,
between_therapists,therapist_imp,IAI,T1,T3,95.0,1.0,0.6054,0.0631,0.8837,0.0733,,,
between_therapists,therapist_imp,IAI,T1,T4,95.0,6.0,0.6553,0.0703,0.8136,0.0947,-0.424,,
between_therapists,therapist_imp,IAI,T1,T5,95.0,13.0,0.66,0.0609,0.8201,0.0744,-0.1603,,
between_therapists,therapist_imp,IAI,T2,T3,23.0,1.0,0.5898,0.0719,0.895,0.0838,,,
between_therapists,therapist_imp,IAI,T2,T4,23.0,6.0,0.6554,0.079,0.8081,0.1139,-0.3272,,
between_therapists,therapist_imp,IAI,T2,T5,23.0,13.0,0.66,0.065,0.8159,0.0821,0.4808,,
between_therapists,therapist_imp,IAI,T3,T4,1.0,6.0,0.6747,0.068,0.7891,0.0779,,,
between_therapists,therapist_imp,IAI,T3,T5,1.0,13.0,0.5987,0.0325,0.8952,0.0353,,,
between_therapists,therapist_imp,IAI,T4,T5,6.0,13.0,0.6535,0.0545,0.8196,0.0739,-0.0519,,
between_therapists,therapist_imp,IDR,T1,T2,9.0,14.0,0.6593,0.078,0.8201,0.0944,0.1709,,
between_therapists,therapist_imp,STK,T1,T2,5.0,11.0,0.599,0.085,0.8903,0.0966,0.4463,,
between_therapists,therapist_imp,VLD,T1,T2,58.0,25.0,0.6207,0.0891,0.86,0.108,0.2422,,
between_therapists,therapist_imp,VLD,T1,T3,58.0,2.0,0.6916,0.0744,0.7778,0.0928,-0.8444,,
between_therapists,therapist_imp,VLD,T1,T4,58.0,14.0,0.6055,0.0781,0.8768,0.0974,-0.3827,,
between_therapists,therapist_imp,VLD,T1,T5,58.0,4.0,0.6603,0.0733,0.8174,0.0881,-0.8235,,
between_therapists,therapist_imp,VLD,T2,T3,25.0,2.0,0.6659,0.0928,0.8072,0.1149,-1.6993,,
between_therapists,therapist_imp,VLD,T2,T4,25.0,14.0,0.5855,0.0822,0.8982,0.1036,0.0352,,
between_therapists,therapist_imp,VLD,T2,T5,25.0,4.0,0.6295,0.0735,0.8543,0.0875,-0.4128,,
between_therapists,therapist_imp,VLD,T3,T4,2.0,14.0,0.6219,0.0722,0.8608,0.0858,-0.6059,,
between_therapists,therapist_imp,VLD,T3,T5,2.0,4.0,0.6951,0.0264,0.7802,0.0338,-3.8755,,
between_therapists,therapist_imp,VLD,T4,T5,14.0,4.0,0.6022,0.0654,0.8844,0.0801,-0.5148,,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC02V2T1_with_predictions.csv,7.0,11.0,0.6733,0.0789,0.7905,0.1006,-0.3745,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC03V1T1_with_predictions.csv,7.0,4.0,0.6292,0.1017,0.8389,0.1258,-0.1964,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC03V2T1_with_predictions.csv,7.0,12.0,0.5941,0.0804,0.8913,0.0969,-0.3076,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC04V1T1_with_predictions.csv,7.0,13.0,0.5566,0.0961,0.936,0.1042,-0.296,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC04V2T1_with_predictions.csv,7.0,14.0,0.537,0.0776,0.9586,0.084,-0.376,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC05V1T1_with_predictions.csv,7.0,5.0,0.5949,0.1059,0.8923,0.1188,-0.3089,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,7.0,4.0,0.6422,0.1253,0.8339,0.1422,-0.3348,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,7.0,4.0,0.4556,0.0646,1.0416,0.062,-0.4684,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,7.0,2.0,0.44,0.0368,1.0577,0.0348,-0.9088,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,7.0,1.0,0.6677,0.0333,0.8142,0.0404,,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,7.0,1.0,0.4836,0.0362,1.0156,0.0367,,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,7.0,12.0,0.5625,0.0755,0.9318,0.0815,-0.5237,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,7.0,8.0,0.6056,0.1003,0.8817,0.1067,-0.2991,1,
within_therapist,patient_imp,,AC02V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,7.0,1.0,0.6722,0.0353,0.8085,0.0428,,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC03V1T1_with_predictions.csv,11.0,4.0,0.6547,0.1121,0.7911,0.1686,0.6869,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC03V2T1_with_predictions.csv,11.0,12.0,0.6105,0.0902,0.8579,0.1286,0.0916,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC04V1T1_with_predictions.csv,11.0,13.0,0.5727,0.1002,0.9047,0.1227,-0.2788,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC04V2T1_with_predictions.csv,11.0,14.0,0.5596,0.0893,0.9203,0.1137,-0.2654,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC05V1T1_with_predictions.csv,11.0,5.0,0.611,0.106,0.8613,0.1293,-0.2913,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC05V2T1_with_predictions.csv,11.0,4.0,0.6365,0.1228,0.8309,0.1447,0.3268,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,11.0,4.0,0.4649,0.0937,1.0133,0.1105,-0.5457,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,11.0,2.0,0.4839,0.117,0.9961,0.147,-1.0103,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,11.0,1.0,0.6935,0.0579,0.7678,0.0776,,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,11.0,1.0,0.4878,0.0822,0.9943,0.109,,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,11.0,12.0,0.5861,0.0883,0.892,0.109,0.1938,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,11.0,8.0,0.618,0.0994,0.8547,0.1163,0.198,1,
within_therapist,patient_imp,,AC02V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,11.0,1.0,0.7035,0.0866,0.7533,0.1085,,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC03V2T1_with_predictions.csv,4.0,12.0,0.6141,0.114,0.8466,0.1608,-0.2613,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC04V1T1_with_predictions.csv,4.0,13.0,0.5757,0.1105,0.8972,0.1378,0.5455,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC04V2T1_with_predictions.csv,4.0,14.0,0.5524,0.1065,0.9228,0.1366,-0.2717,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC05V1T1_with_predictions.csv,4.0,5.0,0.5933,0.1206,0.8768,0.1477,0.5102,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,4.0,4.0,0.6193,0.1251,0.8472,0.1516,-0.7922,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,4.0,4.0,0.4838,0.1117,0.9877,0.1347,-0.4063,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,4.0,2.0,0.4799,0.119,0.9945,0.1531,-1.2556,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,4.0,1.0,0.6337,0.0946,0.8354,0.1188,,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,4.0,1.0,0.4421,0.114,1.0284,0.1425,,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,4.0,12.0,0.5623,0.1003,0.9123,0.1283,0.7684,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,4.0,8.0,0.5979,0.1128,0.873,0.1366,-0.03,1,
within_therapist,patient_imp,,AC03V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,4.0,1.0,0.6442,0.1329,0.8194,0.162,,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC04V1T1_with_predictions.csv,12.0,13.0,0.5416,0.0939,0.9465,0.1089,-0.2178,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC04V2T1_with_predictions.csv,12.0,14.0,0.5293,0.0851,0.9603,0.1018,0.0814,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC05V1T1_with_predictions.csv,12.0,5.0,0.5668,0.0976,0.9195,0.1141,0.3742,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC05V2T1_with_predictions.csv,12.0,4.0,0.5857,0.1121,0.8971,0.1289,0.0501,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,12.0,4.0,0.4539,0.0938,1.0336,0.103,-0.3069,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,12.0,2.0,0.4725,0.0863,1.0178,0.1048,-0.8901,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,12.0,1.0,0.6035,0.0844,0.8803,0.101,,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,12.0,1.0,0.4582,0.0684,1.0316,0.0858,,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,12.0,12.0,0.5292,0.083,0.9604,0.0977,-0.1843,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,12.0,8.0,0.5667,0.0939,0.92,0.1084,0.2215,1,
within_therapist,patient_imp,,AC03V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,12.0,1.0,0.6151,0.0664,0.8699,0.0843,,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC04V2T1_with_predictions.csv,13.0,14.0,0.5248,0.0807,0.9711,0.0858,0.1005,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC05V1T1_with_predictions.csv,13.0,5.0,0.5371,0.0954,0.9564,0.1053,0.2235,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,13.0,4.0,0.5695,0.1266,0.9172,0.1408,-1.1807,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,13.0,4.0,0.4347,0.0856,1.0602,0.0807,-0.5963,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,13.0,2.0,0.4412,0.044,1.0563,0.0415,0.53,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,13.0,1.0,0.5672,0.0985,0.9241,0.1084,,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,13.0,1.0,0.4527,0.0732,1.044,0.0684,,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,13.0,12.0,0.5077,0.0757,0.9892,0.0784,0.2964,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,13.0,8.0,0.5437,0.0903,0.9505,0.0957,-0.6569,1,
within_therapist,patient_imp,,AC04V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,13.0,1.0,0.5817,0.0758,0.9108,0.0839,,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC05V1T1_with_predictions.csv,14.0,5.0,0.5259,0.0824,0.9696,0.0906,-0.2896,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC05V2T1_with_predictions.csv,14.0,4.0,0.5436,0.0857,0.9509,0.0926,-0.6801,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,14.0,4.0,0.4378,0.0778,1.0579,0.0726,-1.0851,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,14.0,2.0,0.4497,0.0657,1.047,0.0655,-15.9152,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,14.0,1.0,0.5415,0.0783,0.9537,0.0862,,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,14.0,1.0,0.449,0.0582,1.0483,0.0558,,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,14.0,12.0,0.5015,0.0732,0.9957,0.0746,-0.1663,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,14.0,8.0,0.5213,0.0794,0.975,0.0818,-0.3373,1,
within_therapist,patient_imp,,AC04V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,14.0,1.0,0.5717,0.058,0.9234,0.0628,,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC05V2T1_with_predictions.csv,5.0,4.0,0.5912,0.131,0.8916,0.1502,-0.6219,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC09V1T1_with_predictions.csv,5.0,4.0,0.4371,0.0786,1.0584,0.0746,-0.2232,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,5.0,2.0,0.4493,0.0433,1.0487,0.0412,-1.9377,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,5.0,1.0,0.6233,0.0981,0.8609,0.1112,,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,5.0,1.0,0.4693,0.0569,1.0287,0.0573,,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,5.0,12.0,0.5269,0.0908,0.968,0.0953,0.2214,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,5.0,8.0,0.558,0.1031,0.9336,0.1115,0.4426,1,
within_therapist,patient_imp,,AC05V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,5.0,1.0,0.5895,0.1023,0.8991,0.1125,,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC09V1T1_with_predictions.csv,4.0,4.0,0.4315,0.1041,1.0619,0.097,-0.4105,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC09V2T1_with_predictions.csv,4.0,2.0,0.4746,0.0979,1.02,0.1017,-1.007,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,4.0,1.0,0.6292,0.1281,0.8496,0.1403,,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,4.0,1.0,0.4597,0.0441,1.0387,0.042,,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,4.0,12.0,0.5529,0.0963,0.9402,0.1005,-0.5914,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,4.0,8.0,0.589,0.1344,0.8952,0.1436,-0.321,1,
within_therapist,patient_imp,,AC05V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,4.0,1.0,0.657,0.0979,0.8207,0.1111,,1,
within_therapist,patient_imp,,AC09V1T1_with_predictions.csv,AC09V2T1_with_predictions.csv,4.0,2.0,0.38,0.0607,1.1123,0.0545,0.7666,1,
within_therapist,patient_imp,,AC09V1T1_with_predictions.csv,AC11V1T1_with_predictions.csv,4.0,1.0,0.458,0.0687,1.039,0.0669,,1,
within_therapist,patient_imp,,AC09V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,4.0,1.0,0.4019,0.0777,1.0915,0.0689,,1,
within_therapist,patient_imp,,AC09V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,4.0,12.0,0.4153,0.0739,1.0792,0.0686,-0.6368,1,
within_therapist,patient_imp,,AC09V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,4.0,8.0,0.4471,0.0821,1.0487,0.0786,-0.4606,1,
within_therapist,patient_imp,,AC09V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,4.0,1.0,0.4676,0.0566,1.0305,0.0539,,1,
within_therapist,patient_imp,,AC09V2T1_with_predictions.csv,AC11V1T1_with_predictions.csv,2.0,1.0,0.4221,0.0547,1.0739,0.0509,,1,
within_therapist,patient_imp,,AC09V2T1_with_predictions.csv,AC11V2T1_with_predictions.csv,2.0,1.0,0.3987,0.0517,1.0956,0.0472,,1,
within_therapist,patient_imp,,AC09V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,2.0,12.0,0.4386,0.0722,1.0573,0.07,-0.6199,1,
within_therapist,patient_imp,,AC09V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,2.0,8.0,0.4406,0.0481,1.0567,0.0463,-0.9535,1,
within_therapist,patient_imp,,AC09V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,2.0,1.0,0.5079,0.0543,0.9906,0.0548,,1,
within_therapist,patient_imp,,AC11V1T1_with_predictions.csv,AC11V2T1_with_predictions.csv,1.0,1.0,0.4447,0.0,1.0539,0.0,,1,
within_therapist,patient_imp,,AC11V1T1_with_predictions.csv,AC13V1T1_with_predictions.csv,1.0,12.0,0.5833,0.0841,0.9082,0.0919,,1,
within_therapist,patient_imp,,AC11V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,1.0,8.0,0.616,0.0795,0.8719,0.0883,,1,
within_therapist,patient_imp,,AC11V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,1.0,1.0,0.6504,0.0,0.8362,0.0,,1,
within_therapist,patient_imp,,AC11V2T1_with_predictions.csv,AC13V1T1_with_predictions.csv,1.0,12.0,0.4026,0.0464,1.0922,0.0438,,1,
within_therapist,patient_imp,,AC11V2T1_with_predictions.csv,AC13V2T1_with_predictions.csv,1.0,8.0,0.4421,0.0604,1.0549,0.0559,,1,
within_therapist,patient_imp,,AC11V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,1.0,1.0,0.4935,0.0,1.0065,0.0,,1,
within_therapist,patient_imp,,AC13V1T1_with_predictions.csv,AC13V2T1_with_predictions.csv,12.0,8.0,0.5472,0.0931,0.9466,0.0971,0.2242,1,
within_therapist,patient_imp,,AC13V1T1_with_predictions.csv,AC18V2T1_with_predictions.csv,12.0,1.0,0.6013,0.0827,0.8879,0.0949,,1,
within_therapist,patient_imp,,AC13V2T1_with_predictions.csv,AC18V2T1_with_predictions.csv,8.0,1.0,0.6367,0.09,0.8467,0.0985,,1,
